key;author_name;book_ids
479;Ansel Adams;8069,8070,8071
480;Anselm of Canterbury;4667
481;Anthea Bell;4099,4124
482;Anthony Lewis;6056
483;Anthony Bonner;7101
484;Anthony Boucher;7892
485;Anthony Bourdain;10228,10230,10988
486;Anthony Bower;6089
488;Anthony Burgess;889,3601,3605,3817,4676,7442,9753,10805
489;Anthony Calderbank;11108
490;Anthony Cronin;850,10848
491;Anthony Curtis;1398
492;Anthony D. Pellegrini;10039
493;Anthony DeCurtis;4584
494;Anthony E. Wolf;3044,3724
495;Anthony F.C. Wallace;3712
496;Anthony Gerard;2825
497;Anthony Grafton;5956,9844
498;Anthony H. Chambers;3171,6147
499;Anthony Heald;3072,6588
500;Anthony Hern;1368
501;Anthony J. Cascardi;5144
502;Anthony Kenny;1856,1915,8323
503;Anthony Kerringan;6008
504;Anthony Kiedis;8904
506;Anthony M. Esolen;2873
507;Anthony Mcreavy;817
508;Anthony Minghella;3815
509;Anthony Oldcorn;5249
510;Anthony Powell;1989,1990,1991,1992
511;Anthony Quinton;1852,1856
512;Anthony Richard Birley;1805
513;Anthony Rizcallah Ferris;7780
514;Anthony Robbins;6271
515;Anthony S. Fauci;796
516;Anthony Shadid;2355
517;Anthony Thorlby;1264,5100
518;Anthony Thwaite;8584
519;Anthony Tully;9602
520;Antoine de Saint-Exupéry;7731
521;Anton C. Pegis;3367
522;Anton Chekhov;1160,3577,3647,4695,4904,5320,8353,8701,9983
523;Anton Lesser;5490
524;Anton Myrer;560,562
525;Antonia Fraser;3383,3494
526;Antonia Juhasz;467
527;Antonin Artaud;10394
528;Antonina W. Bouis;186
529;Antonio Gramsci;6496
530;Antonio Negri;8054,8153
531;Antonio Polito;9432
532;Antonio Samons;10969
533;Antony Beevor;1437,1523,5820
534;Antony Johnston;10601
535;Antony Shugaar;10617
536;Anya Seton;4519,9263,9264,9266
537;Apollodorus;1839,5979,8293,8345,10858
538;Apostolos N. Athanassakis;7606
539;April Jones Prince;4473
540;Architecture For Humanity;10609
541;Ariel Levy;6719
542;Arielle Ford;4740
543;Arien Mack;2050
544;Aristophanes;1160,1179,1196,1235,1687,1897,1899,1917,3842,4702,5988,5995,7914,8325,8326,9115,9596,9746
545;Aristotle;1217,1255,3216,4667,4891,5117,5984,6434
546;Arkangel Cast;1283,1908,6821,6835
547;Arlene Eisenberg;7105,7106
548;Arliss Howard;6873
549;Armand Marie Leroi;1455
550;Armistead Maupin;172,395
551;Arnold Gingrich;6229
552;Arnold Goldman;1333
553;Arnold Kotler;5306,8286
554;Arnold Rampersad;3062,8565
555;Arnold Vedlitz;2054
556;Arnon Grunberg;9875
557;Aron Eisenberg;7525,7533
558;Art Cooper;3128
559;Art Spiegelman;1307,1605,3695,5545,9433
560;Art Spielman;3812
561;Art Thibert;8896
562;Artem Drabkin;10271
563;Artemis Cooper;1523
564;Arthur Miller;1259,1511,1514,5807,7886,10550
565;Arthur Agatston;9652
566;Arthur Bennett;8252
567;Arthur C. Clarke;1634,2385,2778,3223,4262,10340,10431
568;Arthur Conan Doyle;1137,1436,3556,3562,4471,5020,5245,7675,9230,9990,9992,10129,10163,10235,11045,11088
569;Arthur Cooper;1191
570;Arthur Doye;3615
571;Arthur Edward Waite;7277
572;Arthur G. Chater;1314,6136,6144
573;Arthur Golden;9275,10799,11113
574;Arthur Goldhammer;6439
575;Arthur H. Samuelson;857
576;Arthur Herzog III;5613
577;Arthur J. Roth;5580
578;Arthur Knodel;5961
579;Arthur Koestler;911,1042,1043,1045,2573,3714,9055
580;Arthur M. Schlesinger Jr.;6235,7711,7713,7714
581;Arthur Machen;2792
582;Arthur Morey;1944
583;Arthur Naiman;10391,10393
584;Arthur Nersesian;5844
585;Arthur P. Yin;9504
586;Arthur Plotnik;3166
587;Arthur Pober;1385,1392,1498,1499,4053,5026,8939,8942
588;Arthur Rackham;3560,5033
589;Arthur Raleigh Humphreys;10505
590;Arthur S. Wensinger;7744
591;Arthur Schopenhauer;1185,4854,4913,4917
592;Arthur Yorinks;7472
593;Artists and Writers Guild;9968
594;Arto Häilä;4588
595;Arturo Pérez-Reverte;1701,1702,4767,10950
596;Arundhati Roy;600
597;Ashley Gardner;3951
598;Ashley Shannon;7128
599;Ashley Wood;10174
600;Åsne Seierstad;2487,10841,11099
601;Astre Mithrandir;8637
602;Astrid Lindgren;1122,1125,1127,1262,1480,1775,5809,6365,6450,10427,10534,10955
603;Atul Gawande;2327
604;Aubrey de Sélincourt;1178
605;Aubrey Williams;3746
606;Audre Lorde;8484
607;Audrey Niffenegger;2176,7856
608;Audrey Penn;10627
609;August Derleth;72,2673,8295
610;August Wilson;6231
611;Augusten Burroughs;10260,10261
612;Augustine of Hippo;118,387,1238,6190,7593,8319,8502,8508,9421,9422,9423,9424,9508
613;Aurelio Voltaire;9636
614;Aurora Echevarría;2121
615;Austin Tichenor;8909
616;Avatar Polymorph;9677
617;Avi;132,1396,1646,4051,6356,7487
618;Avigdor Kahalani;2060
619;Avrahm Yarmolinsky;7782
620;Ayako Watanabe;10923
621;Aylmer Maude;1246,1614,3066,6526,7984
622;Ayn Rand;4547,4552,4553,4561,4725,4731,4742
623;Azar Nafisi;99,1622,7984,8003,8015
624;Azzedine Haddour;3840
625;B. Deutsch;7868
626;B. Litt;1283
627;B.B. Rogers;9115
628;B.C.J.G. Knight;1194
629;B.J. McCall;9111
630;B.K. Beckwith;10051
631;Babette Rothschild;3645
632;Babette Smith;10387
633;Bagram Ibatoulline;7148
634;Baillie Tolkien;5734
635;Bambi Eloriaga;654
636;Barack Obama;2125,2194,4928
637;Barb Jernigan;8435
638;Barbara Newman;7565
639;Barbara A. Mowat;1284,1308,1846,1907,2082,5123,6821,6831,6839,6840
640;Barbara A. Turner;8639
641;Barbara Ann Brennan;5302
642;Barbara Berst Adams;8595
643;Barbara Bottner;2131
644;Barbara Bray;973,996,3716,7614,7620,9428
645;Barbara Bretton;2995
646;Barbara Caruso;9104
647;Barbara Cleverly;3438
648;Barbara Cohen;10465
649;Barbara Coloroso;146
650;Barbara Conklin;5261,5264,5270
651;Barbara Cooney;4213
652;Barbara Davilman;2488
653;Barbara Delaplace;8435
654;Barbara E. Martin;8176
655;Barbara Ehrenreich;588,7709,7740,8803
656;Barbara Fairchild;7205
657;Barbara Hambly;2692,5910
658;Barbara Haworth-Attard;7726
659;Barbara Kerley;4071
660;Barbara Kingsolver;195,472,586,7916
661;Barbara Leonie Picard;1773
662;Barbara M. Walker;776
663;Barbara Nadel;6920,7040,7041,10618
664;Barbara Park;3261,6205,6206
665;Barbara Reynolds;1175,1195
666;Barbara Richard;8979
667;Barbara Siegel;8405
668;Barbara Smuts;6429
669;Barbara T. Cooper;10006
670;Barbara Taylor Bradford;2306,2311
671;Barbara W. Tuchman;2834,2904
672;Barbara Weiden Boyd;8284
673;Barbara Wright;1457,7870,9404,9845
674;Bard E. O'Neill;9601
675;Bard Thompson;7589
676;Barney Tobey;94
677;Barrett Whitener;7420,8999
678;Barrie D. Coate;8649
679;Barrie Trinkle;7107
680;Barrington Moore Jr.;7801
681;Barron's;7904
682;Barry Lopez;3191,6116,8784,10370
683;Barry Smith;7968
684;Barry Chubin;7689
685;Barry Day;9770
686;Barry Eisler;3790
687;Barry Glassner;4780
688;Barry Hughart;2659
689;Barry M. Andrews;9303
690;Barry Menikoff;3243
691;Barry Miles;668,7636
692;Barry Moser;1984,2873,5249,8402
693;Barry N. Malzberg;8435
694;Barry Pateman;10514
695;Barry R. Cournoyer;1935
696;Barry Schwartz;140
697;Barry Z. Posner;7550
698;Bart D. Ehrman;1890
699;Bart G. Farkas;6887
700;Bart King;9808
701;Barthe DeClements;1131,1134
702;Bartholomew Gill;3307
703;Barton Zwiebach;5152
704;Baruch Spinoza;2135
705;Basil Mahon;4818
706;Basil Pao;2073
707;Basilio Losada;10981
708;Bathroom Readers' Institute;9549
709;Be-Papas;9899
710;Be-Pas;9902
711;Beatrix Potter;6508,6509,6510,6511,6512
712;Beau Bridges;5342,5346,6594
713;Bebe Moore Campbell;8709
714;Becky Ann Baker;6873
715;bell hooks;3843,3846,6331,6795,7455,7702
716;Belva Plain;4207
717;Ben Avery;8656
718;Ben Bova;3293,4680,7929
719;Ben Carson;2197
720;Ben Counter;10274
721;Ben Elton;5206,5208
722;Ben Katchor;3099,5762
723;Ben M. Baglio;4069
724;Ben Marcus;4682
725;Ben Mezrich;887
726;Ben Mikaelsen;7467
727;Ben Ohlander;7061,8442
728;Ben Oliver;7380
729;Ben R. Kaplan;572
730;Ben Schoen;9529
731;Ben Schott;9697
732;Ben Shahn;5042
733;Ben Templesmith;9708
734;Ben Wasson;3669
735;Benjamin Beard;1400
736;Benjamin Chaud;7895
737;Benjamin DeMott;1331,4652,4693
738;Benjamin F. Fisher;9998
739;Benjamin James Sadock;7350
740;Benjamin Jowett;1245,4902,8323,8342,8391,8545,9116,10014
741;Benjamin Martinez;8543
742;Bennett Cerf;6030
743;Bentley Little;4605
744;Berlitz Publishing Company;11112
745;Bernard Bador;10394
746;Bernard Cohen;10669
747;Bernard Cornwell;150,234
748;Bernard DeVoto;216,1022
749;Bernard Frechtman;7779
750;Bernard Knox;551,1083,1203,1229,1253,1623,9005
751;Bernard Lewis;213
752;Bernard Malamud;523,3012,3013,3024,3040,3049,7842,10539
753;Bernard Taper;5069
754;Bernard Williams;1852,1856,5094,5096,5951
755;Bernd Matzkowski;10863
756;Bernice Kert;3608
757;Bernie Wrightson;4700,4708,9031
758;Bert G. Hornback;3579
759;Berta Platas;9047
760;Bertrand Russell;3829
761;Beryl Bainbridge;7892
762;Beryl Markham;8287
763;Bessie Head;4036
764;Beth A. Jones;9624
765;Beth Chaplin;10253
766;Beth Cuthand;3607
767;Beth Dunfey;4131
768;Beth Hensperger;9296
769;Beth Kendrick;9047
770;Beth Moore;7765
771;Bethany Roberts;5699
772;Betina Ogden;6369
773;Betsy Lewin;6361,6803
774;Bette Greene;1492
775;Better Homes and Gardens;6446,6447
776;Bettina Blanch Tyroller;2192,11042
777;Betty Smith;638
778;Betty David;4241
779;Betty Friedan;3619
780;Betty Jay;10191
781;Betty MacDonald;184,729,730,731
782;Betty Mahmoody;5195
783;Betty McCollum;7573
784;Betty Neels;2951
785;Betty Radice;1178
786;Bev Vincent;9824
787;Beverly Cleary;7021
788;Beverly Daniel Tatum;4806
789;Bianca Southwood;10952
790;Bill Phillips;806
791;Bill Bryson;6986
792;Bill Bettencourt;5631
793;Bill Brittain;733
794;Bill Brown;4145,4146
795;Bill Bryson;520,3301,3302,3303,3308,3504,3513,5213,5217,5485,7287,7288,7304,7317,10677,11007
796;Bill Buford;1001
797;Bill Clinton;3069,8845
798;Bill Cosby;5599,5600,5601
799;Bill Dodge;1405
800;Bill Farrel;6540
801;Bill Fawcett;5929
802;Bill Gardner;9952
803;Bill Hurter;9733
804;Bill Hybels;2196,8162,8166
805;Bill Irwin;509
806;Bill Johnston;8655
807;Bill Maher;2708,6733,10081
808;Bill Miller;4835
809;Bill Moyers;3449
810;Bill Nichols;2033
811;Bill Phillips;179,8634
812;Bill Pittman;9955
813;Bill Plaschke;5690
814;Bill Potter;10524
815;Bill Pronzini;5868,9530
816;Bill Richardson;2235
817;Bill Robertie;10402,10403
818;Bill Sienkiewicz;7369,7375,9958
819;Bill Veeck;10539
820;Bill Watterson;6602,6604,6988,8171,8173,8174,8175
821;Bill Willingham;8868,8871,8873,8879,8880,8888,8889,8899,9394
822;Bill Wittliff;8303
823;Billie Letts;4413
824;Billy Collins;1570,3202,3203,9286,9846
825;Billy Crystal;465,3809
826;Billy Goldberg;2177
827;Billy Merrell;4147
828;Billy Mills;9345
829;Billy Wilder;2317
830;Binjamin W. Segel;7680
831;Birgit Brandau;10784
832;Black Elk;7679
833;Blaine M. Yorgason;8371
834;Blair Brown;6569,6588
835;Blaise Pascal;8494
836;Blake Cahoon;8435
837;Blake Morrison;1077
838;Blake Nelson;1478,1490,1494,5806,5938,6254,7235,8625,10780
839;Blake Nevius;8554,8555
840;Blanca Ríos;10955
841;Bob Smith;6286
