key;title;isbn13;language_code;publication_date;publisher_id;book_ids
131;The Silmarillion;9780048231536;eng;1979-03-12;2077;8490
132;Poppy's Return;9780060000141;eng;2006-08-22;882;617,919
133;Her Highness  My Wife (Effingtons  #5);9780060001445;eng;2002-07-30;164;8857
134;Love With the Proper Husband (Effingtons  #6);9780060001452;eng;2003-03-25;160;8857
135;Diary of a Spider;9780060001537;en-US;2005-07-26;882;2114,3217
136;With Her Last Breath;9780060001810;en-US;2003-06-24;160;1022
137;On a Wicked Dawn (Cynster  #9);9780060002053;eng;2002-04-30;160;8173
138;The Lady Chosen (Bastion Club  #1);9780060002060;eng;2003-08-26;160;8173
139;An Old-Fashioned Thanksgiving;9780060004507;eng;2005-08-01;889;3672,5385
140;The Paradox of Choice: Why More Is Less;9780060005696;eng;2005-01-18;873;696
141;How to Read Literature Like a Professor;9780060009427;eng;2014-11-14;873;8581
142;American Gods;9780060010607;eng;2001-06-01;1513;6414
143;Animal Liberation;9780060011574;eng;2001-12-01;608;6913
144;The Amazing Maurice and His Educated Rodents (Discworld  #28);9780060012342;eng;2001-11-06;882;8528
145;Going Postal (Discworld  #33);9780060013134;en-US;2004-09-28;864;8528
146;Kids Are Worth It!: Giving Your Child the Gift of Inner Discipline;9780060014315;en-US;2002-08-20;2210;649
147;After;9780060080839;eng;2004-05-11;905;2675
148;Mary Engelbreit's Mother Goose: One Hundred Best-Loved Verses;9780060081713;en-US;2005-09-20;882;5200,5838
149;The Modern Mind: An Intellectual History of the 20th Century;9780060084387;eng;2002-07-23;873;6927
150;Sharpe's Prey (Sharpe  #5);9780060084530;eng;2012-10-23;872;747
151;She Went All the Way;9780060085445;eng;2002-12-03;160;5960
152;Island;9780060085490;eng;2002-07-30;876;149
153;Planet of the Apes: The Fall;9780060086206;eng;2002-06-04;895;9120
154;Planet of the Apes: Colony;9780060086213;eng;2003-03-25;895;9120
155;Last Chance Saloon;9780060086244;en-US;2003-05-27;889;5621
156;Barracuda 945 (Admiral Arnold Morgan  #6);9780060086633;eng;2004-06-29;907;6683
157;A Year in the Life of William Shakespeare: 1599;9780060088743;eng;2006-06-13;873;3776
158;Lucy Sullivan Is Getting Married;9780060090371;en-US;2007-01-23;2210;5621
159;Rachel's Holiday (Walsh Family  #2);9780060090388;eng;2007-01-23;2210;5621
160;The Terminal Man;9780060092573;eng;2002-11-05;160;6053
161;Criss Cross;9780060092726;en-US;2005-08-30;803;5448
162;Madam  Will You Talk?;9780060093563;eng;2003-11-25;907;5813
163;The Art of the Novel;9780060093747;eng;2003-04-01;877;5261,6260
164;Satan's Tail (Dreamland  #7);9780060094416;eng;2005-07-26;907;1562,4100
165;End Game (Dreamland  #8);9780060094423;eng;2006-10-31;907;1562,4100
166;The Bromeliad Trilogy (Omnibus: Truckers / Diggers / Wings);9780060094935;eng;2003-09-30;882;8528
167;Truckers (Bromeliad Trilogy  #1);9780060094966;eng;2004-04-01;882;8528
168;Fire Lover: A True Story;9780060095277;eng;2002-04-30;2204;4587
169;Behaving Like Adults;9780060096687;eng;2004-08-03;2210;431
170;The Great Gatsby;9780060098919;eng;2002-10-01;340;181,4827,5905,8647
171;Merry Christmas  Amelia Bedelia;9780060099459;eng;2002-10-01;803;5443,6794
172;Back to Barbary Lane: The Tales of the City Omnibus (Tales of the City  #4-6);9780060166496;eng;1991-11-26;864;550
174;The Third Chimpanzee: The Evolution & Future of the Human Animal;9780060183073;eng;1992-01-01;889;3875
175;The Senator and the Socialite: The True Story of America's First Black Dynasty;9780060184124;eng;2006-06-27;864;5132
176;There's a Spiritual Solution to Every Problem;9780060192303;eng;2001-08-21;864;8986
177;The Illustrated Alchemist: A Fable about Following Your Dream;9780060192501;en-US;1998-11-01;889;123,6292,6782
178;Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships;9780060192778;en-US;1998-10-21;864;4320
179;Body For Life: 12 Weeks to Mental and Physical Strength;9780060193393;en-US;1999-06-10;890;811,6059
181;Stanley;9780060225353;eng;1992-12-31;889;8434
182;Betsy-Tacy and Tib (Betsy-Tacy  #2);9780060244163;eng;1994-11-09;882;5333,5919
183;Today I Feel Silly  Other Moods That Make My Day;9780060245603;en-US;2007-07-31;882;3800,5070
184;Mrs. Piggle-Wiggle Treasury (Mrs. Piggle Wiggle  #1-2  #4);9780060248123;eng;1995-06-15;882;781,3342
185;Where the Wild Things Are;9780060254926;eng;2012-12-26;882;5931
186;We Were Not Like Other People;9780060255084;eng;1989-01-01;889;528,2487
187;The Missing Piece Meets the Big O;9780060256579;eng;2006-01-24;882;8038
188;The Missing Piece (The Missing Piece  #1);9780060256715;eng;2006-01-24;882;8038
189;Lafcadio  the Lion Who Shot Back;9780060256753;eng;2013-09-24;882;8038
190;Sun  Moon  Star;9780060263195;eng;1980-01-01;889;3521,5007
191;The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden;9780060277406;eng;1999-03-19;695;284,2660,7031
192;Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilder;9780060278427;eng;1998-10-13;882;5083,9022
194;The Moonspinners;9780060502959;eng;2003-11-25;907;5813
195;Small Wonder;9780060504083;eng;2003-04-15;873;660
196;Worlds Enough & Time: Five Tales of Speculative Fiction;9780060506049;eng;2002-11-26;880;1589
197;We Were Soldiers Once ... and Young (Ia Drang - the Battle That Changed the War in Vietnam);9780060506988;eng;2002-02-05;907;3202,4576
198;Household Saints;9780060507275;en-US;2003-04-01;873;2675
199;The Cheese Monkeys;9780060507404;en-US;2002-09-03;873;1278
200;The Last Hero (Discworld #27; Rincewind #7);9780060507770;eng;2002-08-20;880;6736,8528
201;Travels;9780060509057;eng;2002-11-05;911;6053
202;Caesar (Masters of Rome  #5);9780060510855;eng;2003-01-28;160;1472
203;The Forever War (The Forever War  #1);9780060510862;eng;2003-09-02;2140;4178
204;Amelia Bedelia Goes Camping;9780060511067;eng;2003-04-15;803;5443,6794
205;The Secret Sister;9780060511104;eng;2005-10-25;160;410,2398
206;Amelia Bedelia Helps Out;9780060511111;eng;2005-01-18;803;5443,6794
207;Whirlpool;9780060511135;eng;2006-10-31;160;410,2398
208;Teach Us  Amelia Bedelia;9780060511142;eng;2004-06-29;803;5443,6794
209;The Beauty Myth;9780060512187;eng;2002-09-24;873;6383
210;Cryptonomicon;9780060512804;eng;2002-11-01;160;6405
211;A Light in the Attic;9780060513061;eng;2002-10-07;885;8038
212;Fragile Things: Short Fictions and Wonders;9780060515225;eng;2006-09-26;2204;6414
213;What Went Wrong? The Clash Between Islam & Modernity in the Middle East;9780060516055;eng;2003-01-07;873;751
214;The Lady in Question (Effingtons  #7);9780060517618;eng;2003-11-25;160;8857
215;The Hand of Dinotopia;9780060518516;eng;2002-12-01;161;107,3712
216;Letters from the Earth: Uncensored Writings;9780060518653;eng;2004-02-17;877;748,3304,5749
217;Savannah Blues (Weezie and Bebe Mysteries  #1);9780060519131;en-US;2012-07-10;872;5851
218;Touching Darkness (Midnighters  #2);9780060519568;eng;2006-03-01;878;7961
219;Blue Noon (Midnighters  #3);9780060519599;eng;2007-02-06;645;7961
220;Tête-à-Tête: Simone de Beauvoir and Jean-Paul Sartre;9780060520595;eng;2005-10-04;864;3243
221;The Whipping Boy;9780060521226;eng;2003-04-15;803;6914,8074
222;The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business;9780060521998;eng;2003-01-07;872;1441,5020
223;Ohio Class (Silent Service #5);9780060524395;eng;2006-07-25;160;3150
224;A Nose for Murder (Jack and Jamie #1);9780060524937;eng;2003-03-01;161;5150
225;Murder Unleashed (Jack and Jamie #2);9780060524944;eng;2004-01-01;161;5150
226;To Collar a Killer (Jack and Jamie #3);9780060524951;eng;2004-11-30;160;5150
227;Happiness;9780060525101;eng;2003-06-03;900;9011
228;Size 12 Is Not Fat (Heather Wells  #1);9780060525118;eng;2005-12-27;2210;5960
229;Size 14 Is Not Fat Either (Heather Wells  #2);9780060525125;eng;2006-11-28;2210;5960
230;Warrior of the Light;9780060527983;en-US;2004-03-30;898;6782
231;The Devil and Miss Prym (On the Seventh Day  #3);9780060527990;eng;2006-07-03;898;270,6455,6782
232;The Wapshot Chronicle;9780060528874;eng;2003-06-03;877;4270,7377
233;The Big Bing: Black Holes of Time Management  Gaseous Executive Bodies  Exploding Careers  and Other Theories on the Origins of the Business Universe;9780060529574;en-US;2006-01-03;868;8151
234;Sharpe's Fury (Sharpe  #11);9780060530488;eng;2006-08-22;864;747
235;The Lion  the Witch and the Wardrobe;9780060530839;en-US;2003-11-04;882;1020,6777
236;Kisscut (Grant County  #2);9780060534042;eng;2003-09-30;907;4767
237;A Faint Cold Fear (Grant County  #3);9780060534059;eng;2004-07-27;864;4767
238;City of the Beasts (Eagle and Jaguar  #1);9780060535032;eng;2004-04-27;1664;3505,5577
239;Walt Whitman: A Life;9780060535117;eng;2003-07-08;877;4712
240;Brave New World and Brave New World Revisited;9780060535261;eng;2004-06-01;882;149,1375
241;How to Make Love Like a Porn Star: A Cautionary Tale;9780060539092;eng;2004-08-17;1038;3987,6416
242;Rough Crossings: Britain  the Slaves and the American Revolution;9780060539160;eng;2006-04-25;607;8099
243;The Outsider;9780060539252;en-US;2003-07-29;911;7365
244;Burning Chrome (Sprawl  #0);9780060539825;eng;2003-07-29;880;935,976,1960,2517,3901,4506,4943,5020,5534,6552,8846,9054
245;Dead Wrong (Joanna Brady  #12);9780060540906;eng;2006-07-25;2204;3556
246;1421: The Year China Discovered America;9780060540944;eng;2004-01-01;875;2861
247;13 Little Blue Envelopes (Little Blue Envelope  #1);9780060541439;eng;2010-12-21;889;5924
248;The Andromeda Strain (Andromeda  #1);9780060541811;eng;2003-10-28;161;6053
249;Congo;9780060541835;eng;2003-10-28;161;6053
250;Only You Can Save Mankind (Johnny Maxwell  #1);9780060541873;eng;2006-07-25;909;8528
251;Amelia Bedelia 50th Anniversary Library: Amelia Bedelia  Amelia Bedelia and the Surprise Shower  and Play Ball  Amelia Bedelia;9780060542382;eng;2012-12-26;803;6794,8826
252;Lizabeth's Story (The Girls of Lighthouse Lane #3);9780060543495;eng;2005-10-18;882;2546,8605
253;Amanda's Story (The Girls of Lighthouse Lane #4);9780060543525;eng;2006-03-14;882;2546,8605
254;Bradbury Stories: 100 of His Most Celebrated Tales;9780060544881;eng;2005-04-05;2210;7137
255;With No One as Witness (Inspector Lynley  #13);9780060545611;eng;2006-02-28;864;2372
256;What Came Before He Shot Her (Inspector Lynley  #14);9780060545628;eng;2006-10-17;864;2372
257;My Invented Country: A Nostalgic Journey Through Chile;9780060545642;en-US;2003-05-27;864;3505
258;The Bradbury Chronicles: The Life of Ray Bradbury;9780060545840;en-US;2006-02-21;873;7851
259;Three Rotten Eggs (The Hamlet Chronicles  #5);9780060546571;eng;2005-01-18;882;2326,3111
260;The Wicked Day (Arthurian Saga  #4);9780060548285;eng;2003-05-01;645;5813
261;The Game: Penetrating the Secret Society of Pickup Artists;9780060554736;en-US;2005-09-06;1038;6416
262;The Lion  the Witch and the Wardrobe (Chronicles of Narnia  #1);9780060556501;eng;2004-09-21;882;1020,3335,8788
263;Gold: The Final Science Fiction Collection;9780060556525;eng;2003-10-21;880;3501,6560
264;The Red Queen: Sex and the Evolution of Human Nature;9780060556570;eng;2003-04-29;874;5893
265;All Aunt Hagar's Children: Stories;9780060557560;en-US;2006-08-29;82;2292
266;Neverwhere (London Below  #1);9780060557812;eng;2003-09-02;2210;6414
267;Gentlemen and Players;9780060559144;eng;2006-01-03;2204;4158
268;The Prince Kidnaps a Bride (Lost Princesses  #3);9780060561185;eng;2006-11-28;160;1340
270;The Kindness of Strangers;9780060564780;en-US;2007-01-02;2210;4845
271;These Happy Golden Years (Little House  #8);9780060565084;eng;2006-03-28;896;1263,2828,6768
272;The First Four Years (Little House  #9);9780060565091;eng;2006-06-13;896;1263,5083
273;Built to Last: Successful Habits of Visionary Companies;9780060566104;eng;2004-11-02;868;3679,4042
274;Fluke: Or  I Know Why the Winged Whale Sings;9780060566685;eng;2004-06-15;864;1386
275;Lord of Light;9780060567231;eng;2010-03-30;880;7656
276;The Perennial Philosophy;9780060570583;eng;2004-04-13;877;149
277;A Crack in the Edge of the World;9780060572006;eng;2006-10-10;873;8103
278;Truth and Beauty;9780060572150;eng;2005-04-05;873;414
279;Where the Sidewalk Ends: Poems and Drawings;9780060572341;eng;2014-02-18;882;8038
280;Dead Witch Walking (The Hollows  #1);9780060572969;en-US;2004-07-01;907;4955
281;The Good  the Bad  and the Undead (The Hollows  #2);9780060572976;eng;2005-01-25;907;4955
282;Every Which Way But Dead (The Hollows  #3);9780060572990;eng;2005-06-28;907;4955
284;Sabriel (Abhorsen  #1);9780060575816;en-US;2004-08-17;645;2827
285;Slouching Toward Nirvana;9780060577049;eng;2006-01-03;606;1192,4226
286;Cat Cross Their Graves (Joe Grey  #10);9780060578114;eng;2005-09-27;160;8066
287;Cat Breaking Free (Joe Grey  #11);9780060578121;eng;2006-10-01;160;8066
288;Slider;9780060580339;en-US;2004-04-27;1038;6683
289;Cookies: Bite-Size Life Lessons;9780060580810;eng;2006-05-02;882;290,3824
290;I Dreamed I Married Perry Mason (A Cece Caruso Mystery  #1);9780060581060;eng;2005-03-29;160;8386
291;The Black Dahlia Files: The Mob  the Mogul  and the Murder That Transfixed Los Angeles;9780060582500;en-US;2006-09-05;872;2077
292;Matilda;9780060582548;eng;2004-01-20;696;1397,4202,7039,7758,8073
293;Like A Charm;9780060583316;en-US;2015-05-26;2210;2470,2633,3829,4037,4329,4879,5084,5152,5433,6894
294;Metro Girl (Alex Barnaby  #1);9780060584023;eng;2005-09-27;907;1010
295;Motor Mouth (Alex Barnaby #2);9780060584030;eng;2006-10-03;882;3855
296;Her Master and Commander (Just Ask Reeves  #1);9780060584085;eng;2006-02-28;160;4747
298;The Way the Crow Flies;9780060586379;en-US;2004-08-31;873;422
299;Great Short Works of Herman Melville;9780060586546;eng;2004-03-02;877;3319,8965
300;Measle and the Dragodon;9780060586904;eng;2006-09-01;909;3452
301;The Day I Swapped My Dad for Two Goldfish;9780060587031;en-US;2006-09-26;882;1670,6414
302;Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1);9780060589462;eng;2006-04-25;907;7523
303;Ulysses S. Grant: The Unlikely Hero;9780060590154;eng;2004-09-28;642;6120
304;A Dirty Job (Grim Reaper  #1);9780060590277;en-US;2006-03-21;2204;1386
305;You Suck (A Love Story  #2);9780060590291;eng;2007-01-16;2204;1386
306;El reino del dragón de oro;9780060591717;spa;2004-09-07;886;3505
308;When We Meet Again (Effingtons  #10);9780060593193;eng;2005-05-24;160;8857
309;Let It Be Love (Effingtons  #11);9780060593209;eng;2005-10-25;160;8857
310;Every Book Its Reader: The Power of the Printed Word to Stir the World;9780060593247;eng;2006-12-12;873;6434
311;Flirting With Danger (Samantha Jellicoe  #1);9780060593636;eng;2005-03-01;160;8418
312;Goat Girls (Weetzie Bat  #2-3);9780060594343;en-US;2004-07-06;905;2669
313;Beautiful Boys (Weetzie Bat  #4-5);9780060594350;en-US;2004-07-06;905;2669
314;Lost Horizon;9780060594527;eng;2004-06-15;873;3724
315;The Doors of Perception & Heaven and Hell;9780060595180;eng;2004-05-04;877;149
316;Since You're Leaving Anyway  Take Out the Trash (Domestic Equalizers #1);9780060595364;eng;2004-08-31;160;2033
317;Abarat: Days of Magic  Nights of War;9780060596385;eng;2006-09-26;882;1452
318;Outposts: Journeys to the Surviving Relics of the British Empire;9780060598617;eng;2004-06-15;873;8103
319;Thanksgiving;9780060598808;eng;2006-10-31;907;3855
320;Manhunt;9780060598822;eng;2005-11-29;907;3855
321;Love Overboard;9780060598846;eng;2005-02-01;907;1010
322;Back to the Bedroom (Elsie Hawkins #1);9780060598853;eng;2014-02-25;864;3855
323;Smitten (Elsie Hawkins #2);9780060598877;eng;2006-07-25;907;3855
324;The Rocky Road to Romance (Elsie Hawkins #4);9780060598891;eng;2011-11-29;864;3855
325;Thomas Jefferson: Author of America;9780060598969;eng;2005-05-31;143;1375
326;Muhammad: A Prophet for Our Time;9780060598976;eng;2006-10-17;642;4739
327;Meeting Jesus Again for the First Time: The Historical Jesus and the Heart of Contemporary Faith;9780060609177;en-US;2015-04-07;898;5547
328;Reading the Bible Again for the First Time: Taking the Bible Seriously but Not Literally;9780060609191;en-US;2015-04-07;898;5547
329;Shadow of the Almighty: The Life and Testament of Jim Elliot;9780060622138;eng;2009-09-29;898;2358
330;The Dance of the Dissident Daughter;9780060645892;eng;2002-08-20;898;8352
331;Readings for Meditation and Reflection;9780060652852;eng;1996-01-05;898;1020,8944
332;The Screwtape Letters;9780060652890;eng;2001-03-06;882;1020
333;Mere Christianity;9780060652920;eng;2015-04-21;898;4825
334;Embracing the Love of God: The Path and Promise of Christian Life;9780060667412;eng;1995-06-28;898;3676,7297
335;The Rise of Christianity;9780060677015;eng;1997-05-09;898;7632
336;The Falls;9780060722296;eng;2005-08-02;873;4603
337;Mutant Message Down Under;9780060723514;eng;2004-05-25;873;5765
338;Crooked Little Vein;9780060723934;en-US;2007-07-24;2204;8970
339;The Collected Poetry  1968-1998;9780060724290;eng;2007-01-23;2204;6487,8883
341;A Little House Traveler: Writings from Laura Ingalls Wilder's Journeys Across America;9780060724917;eng;2006-02-07;882;5083
342;Darkest Hour (The Mediator  #4);9780060725143;eng;2004-12-28;882;5960
343;Great Short Works of Fyodor Dostoevsky;9780060726461;eng;2004-07-06;877;2781,7691
